timestamp,symbol,name,peg_type,peg_mechanism,current_supply_usd,day_change_usd,week_change_usd,month_change_usd,price
2026-06-08T15:11:40.503707+00:00,FUSD,Fuse Dollar V3,peggedUSD,crypto-backed,11915.48,503.03,-2922.46,-1193.56,0.00000000
2026-06-08T15:11:40.503707+00:00,MIM,Magic Internet Money,peggedUSD,crypto-backed,29106238.98,1957.44,-2707.02,-123715.16,0.99515263
2026-06-08T15:11:40.503707+00:00,USDA,USDA,peggedUSD,crypto-backed,905795.97,-612.46,-2421.34,-354586.82,0.00000000
2026-06-08T15:11:40.503707+00:00,DSU,Digital Standard Unit,peggedUSD,crypto-backed,710847.86,0.00,-2126.39,-2443.84,0.99967417
2026-06-08T15:11:40.503707+00:00,ERN,Ethos Reserve Note,peggedUSD,crypto-backed,50637.74,-1420.07,-2061.13,-3211.02,0.94356571
2026-06-08T15:11:40.503707+00:00,PINTO,Pinto,peggedUSD,crypto-backed,10642002.44,336.51,1715.58,4366.76,0.00000000
2026-06-08T15:11:40.503707+00:00,USDS,Sperax USD,peggedUSD,crypto-backed,534845.80,746.99,-1705.68,-80384.35,0.99637524
2026-06-08T15:11:40.503707+00:00,satUSD,River Stablecoin,peggedUSD,crypto-backed,157858224.34,-109.02,-1517.49,20668.39,0.99145810
2026-06-08T15:11:40.503707+00:00,MUST,Mustang Finance,peggedUSD,crypto-backed,154320562.27,0.00,1427.17,8718.23,0.99967417
2026-06-08T15:11:40.503707+00:00,PXDC,PXDC Stablecoin,peggedUSD,crypto-backed,701422.63,-5416.03,-1344.80,-3932.32,0.98741691
2026-06-08T15:11:40.503707+00:00,GRAI,GRAI,peggedUSD,crypto-backed,327771.22,0.00,-1274.82,-2186.04,0.76831597
2026-06-08T15:11:40.503707+00:00,aUSD,Stable Jack aUSD,peggedUSD,crypto-backed,549903.59,1165.69,1107.17,11915.77,0.99967417
2026-06-08T15:11:40.503707+00:00,USDJ,USDJ,peggedUSD,crypto-backed,89598.03,-15.10,993.07,726.40,0.05186264
2026-06-08T15:11:40.503707+00:00,EUSD,eUSD,peggedUSD,crypto-backed,94895.31,0.00,-981.25,-1975.78,0.00000000
2026-06-08T15:11:40.503707+00:00,DYAD,Dyad,peggedUSD,crypto-backed,24785.07,0.00,-955.02,8013.16,1.00764653
2026-06-08T15:11:40.503707+00:00,FUSD,FinChain Dollar,peggedUSD,fiat-backed,936356.91,127.82,750.39,936356.91,0.99967417
2026-06-08T15:11:40.503707+00:00,USK,USK,peggedUSD,crypto-backed,677015.53,0.00,-714.97,-1186.10,0.00000000
2026-06-08T15:11:40.503707+00:00,USH,Hyperstable USD,peggedUSD,crypto-backed,27170.61,0.00,-713.26,-5907.95,0.99925534
